Aircraft Electricity 2 Lab,AVMT 22001,001,,,,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,"('AVMT 22001', 'Lab', '1:00 pm - 4:50 pm', 'R', 'Harold White HW 138', 'Jan 18, 2024 - May 11, 2024', 'Lab', 'Brian J  Kozak (P)')"
Aircraft Electricity 2 Lab,AVMT 22001,002,,,,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,"('AVMT 22001', 'Lab', '1:00 pm - 4:50 pm', 'T', 'Harold White HW 138', 'Jan 16, 2024 - May 11, 2024', 'Lab', 'Brian J  Kozak (P)')"
Aircraft Reciprocating Engines,AVMT 31000,001,,,,Online Campus,Lecture Schedule Type,Online Instructional Method,"('AVMT 31000', 'Online', 'TBA', '', 'Online Meeting', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Raul   Armenta (P)')"
Aircraft Reciprocating Engines Lab,AVMT 31001,001,,,,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,"('AVMT 31001', 'Lab', '5:30 pm - 9:20 pm', 'R', 'Harold White HW 170', 'Jan 18, 2024 - May 11, 2024', 'Lab', 'Raul   Armenta (P)')"
Aircraft Systems,AVMT 32000,001,,,,Online Campus,Lecture Schedule Type,Online Instructional Method,"('AVMT 32000', 'Online', 'TBA', '', 'Online Meeting', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Raul   Armenta (P)')"
Aircraft Systems Lab,AVMT 32001,001,,,,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,"('AVMT 32001', 'Lab', '7:30 pm - 9:20 pm', 'T', 'Harold White HW 170', 'Jan 16, 2024 - May 11, 2024', 'Lab', 'Raul   Armenta (P)')","('AVMT 32001', 'Lab', '5:30 pm - 9:20 pm', 'W', 'Harold White HW 170', 'Jan 16, 2024 - May 11, 2024', 'Lab', 'Raul   Armenta (P)')"
Aircraft Engine Accessories,AVMT 33000,001,,,,Online Campus,Lecture Schedule Type,Online Instructional Method,"('AVMT 33000', 'Online', 'TBA', '', 'Online Meeting', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Raul   Armenta (P)')"
Aircraft Engine Accessories Lab,AVMT 33001,001,,,,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,"('AVMT 33001', 'Lab', '5:30 pm - 9:20 pm', 'M', 'Harold White HW 170', 'Jan 16, 2024 - May 11, 2024', 'Lab', 'Raul   Armenta (P)')","('AVMT 33001', 'Lab', '5:30 pm - 7:20 pm', 'T', 'Harold White HW 170', 'Jan 16, 2024 - May 11, 2024', 'Lab', 'Raul   Armenta (P)')"
Gas Turbine Powerplants,AVMT 41000,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('AVMT 41000', 'Class/Lecture', '10:00 am - 11:50 am', 'TR', 'Harold White HW 135', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Matthew P  Franklin (P)')"
Gas Turbine Powerplants Lab,AVMT 41001,001,,,,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,"('AVMT 41001', 'Lab', '3:00 pm - 4:50 pm', 'MW', 'Harold White HW 170', 'Jan 16, 2024 - May 11, 2024', 'Lab', 'Matthew P  Franklin (P)')","('AVMT 41001', 'Lab', '9:00 am - 10:50 am', 'F', 'Harold White HW 170', 'Jan 16, 2024 - May 11, 2024', 'Lab', 'Matthew P  Franklin (P)')"
Gas Turbine Powerplants Lab,AVMT 41001,002,,,,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,"('AVMT 41001', 'Lab', '1:00 pm - 3:50 pm', 'TR', 'Harold White HW 170', 'Jan 16, 2024 - May 11, 2024', 'Lab', 'Matthew P  Franklin (P)')"
Aircraft Propellers,AVMT 42000,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('AVMT 42000', 'Class/Lecture', '8:00 am - 9:50 am', 'TR', 'Harold White HW 135', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Christopher T  Stevens (P)')"
Aircraft Propellers Lab,AVMT 42001,001,,,,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,"('AVMT 42001', 'Lab', '1:00 pm - 2:50 pm', 'MW', 'Harold White HW 170', 'Jan 17, 2024 - May 11, 2024', 'Lab', 'Christopher T  Stevens (P)')"
Aircraft Propellers Lab,AVMT 42001,002,,,,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,"('AVMT 42001', 'Lab', '8:00 am - 9:50 am', 'MW', 'Harold White HW 170', 'Jan 17, 2024 - May 11, 2024', 'Lab', 'Christopher T  Stevens (P)')"
Aviation and Aerospace Propulsion Systems,AVMT 42500,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('AVMT 42500', 'Class/Lecture', '6:00 pm - 8:50 pm', 'R', 'Harold White HW 137', 'Jan 18, 2024 - May 11, 2024', 'Lecture', 'Matthew P  Franklin (P)')"
Aircraft Inspection and Engine Testing,AVMT 43000,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('AVMT 43000', 'Class/Lecture', '10:00 am - 11:50 am', 'MW', 'Harold White HW 135', 'Jan 17, 2024 - May 11, 2024', 'Lecture', 'Craig T  Neville (P)')"
